1000,Gulmoahar,9031093024,100,10100
1001,lakshmiNarayan Baug,9839255698,200,10101
1002,sohrab palakote hall,9907257715,300,10102
1003,kutchi Gurjar Wadi,9474667923,400,10103
1004,shree Halari Visa oswal Samaj,9643301731,500,10104
1005,shirodkar hall,9531276437,600,10105
1006, hello world,9074781819,700,10106
1007,shivaji Natya Mandir,9139837130,800,10107
1008,shagun Banquets,9175043672,900,10108
1009,damodar halls,9746954974,1000,10109
1010,Punjab Association Hall,9803924904,1100,10110
1011,Dr Antonio da Silva Trust Hall,9427214316,1200,10111
1012, amba devi hall,9213985382,1300,10112
1013,Blue Lagoon The,9612263899,1400,10113
1014,Samadhan Hall  Restaurant ,9063197422,1500,10114
1015,Utsav Restaurant  Banquets,9615764646,1600,10115
1016,Grass Restaurant,9354195553,1700,10116
1017,Grant Cuisine,9104382084,1800,10117
1018,Nebula Gourmet Express Restaurant ,9132540998,1900,10118
1019,Veg Always Restaurant ,9636154993,2000,10119
1020,Blue Sea Banquets,9877539213,2100,10120
1021,Rajdoot Hotel,9979777361,2200,10121
1022,Jade Garden Banquet Hall ,9397555029,2300,10122
1023,Kashinath dhuru hall,9669911128,2400,10123
1024,Mumbai Aarya Vaishya Sangam,9729352699,2500,10124
1025,B N Vaidya Banquet Hall,9015543293,2600,10125
1026,Guru Nanak National Auditorium,9139416795,2700,10126
1027,Rachana Sansad,9119486757,2800,10127
1028,Shanmukhananda Auditorium,9899303685,2900,10128
1029,G.S.B. Seva Mandal,9343943739,3000,10129
1030,Apna bazar banquet hall,9747244903,3100,10130
1031,Manisha Apartments,9752215138,3200,10131
1032,Peninsula Restaurant,9603458585,3300,10132
1033,Rosewood Hotel ,9584382532,3400,10133
1034,Sunville Banquets,9405024577,3500,10134
1035,Status Restaurant ,9498596964,3600,10135
1036,J.K. Banquets ,9914173261,3700,10136
1037,Hotel Shantiidoot,9121512270,3800,10137
1038,City Point Hotel ,9492853163,3900,10138
1039,Comfort inn heritage hotel ,9745183147,4000,10139
1040,Midtown Pritam Hotel ,9655886376,4100,10140
1041,Tote Banquet ,9089527997,4200,10141
1042,Hotel Avon Ruby,9832934671,4300,10142
1043,Hiltop Hotel,9649423987,4400,10143
1044,MATUNGA GUJARATI CLUB LTD.,9827177097,4500,10144
1045,"Mayfair Banquets 
",9595519707,4600,10145
1046,Kohinoor Banquet hall,9963623998,4700,10146
1047,Stallion Banquets,9448664149,4800,10147
1048,Copper Chimney Restaurant ,9734937393,4900,10148
